Date,TMax,TMin,TAvg,TDep,HDD,CDD,Precip,station
2013-08-29,87,60,73.5,6.0,0,9,0.00,2.0
2013-08-30,95,54,74.5,7.0,0,10,0.00,2.0
2013-08-31,88,51,69.5,2.0,0,5,0.00,2.0
2013-09-01,84,54,69.0,1.5,0,4,0.00,2.0
2013-09-02,83,54,68.5,1.0,0,4,0.00,2.0
2013-09-03,82,49,65.5,-1.9,0,1,0.00,2.0
2013-09-04,85,49,67.0,-0.4,0,2,0.00,2.0
2013-09-05,86,49,67.5,0.1,0,3,0.00,2.0
2013-09-06,94,49,71.5,4.2,0,7,0.00,2.0
2013-09-07,96,50,73.0,5.7,0,8,0.00,2.0
2013-09-08,92,51,71.5,4.3,0,7,0.00,2.0
2013-09-09,95,50,72.5,5.4,0,8,0.00,2.0
2013-09-10,71,56,63.5,-3.6,1,0,0.00,2.0
2013-09-11,69,62,65.5,-1.5,0,1,0.00,2.0
2013-09-12,82,56,69.0,2.1,0,4,0.00,2.0
2013-09-13,83,53,68.0,1.2,0,3,0.00,2.0
2013-09-14,82,49,65.5,-1.2,0,1,0.00,2.0
2013-09-15,81,49,65.0,-1.6,0,0,0.00,2.0
2013-09-16,87,51,69.0,2.6,0,4,0.00,2.0
2013-09-17,82,48,65.0,-1.3,0,0,0.00,2.0
2013-09-18,85,54,69.5,3.3,0,5,0.00,2.0
2013-09-19,89,45,67.0,1.0,0,2,0.00,2.0
2013-09-20,78,41,59.5,-6.4,5,0,0.16,2.0
2013-09-21,71,51,61.0,-4.7,4,0,0.24,2.0
2013-09-22,78,45,61.5,-4.1,3,0,0.00,2.0
2013-09-23,85,49,67.0,1.6,0,2,0.00,2.0
2013-09-24,81,53,67.0,1.8,0,2,0.00,2.0
2013-09-25,74,46,60.0,-5.1,5,0,0.00,2.0
2013-09-26,79,47,63.0,-1.9,2,0,0.00,2.0
2013-09-27,81,43,62.0,-2.7,3,0,0.00,2.0
2013-09-28,82,43,62.5,-2.0,2,0,0.00,2.0
2013-09-29,71,52,61.5,-2.8,3,0,0.01,2.0
2013-09-30,73,52,62.5,-1.7,2,0,0.07,2.0
2013-10-01,80,42,61.0,-3.0,4,0,0.00,2.0
2013-10-02,81,47,64.0,0.2,1,0,0.00,2.0
2013-10-03,79,53,66.0,2.4,0,1,0.00,2.0
2013-10-04,85,51,68.0,4.6,0,3,0.00,2.0
2013-10-05,87,39,63.0,-0.2,2,0,0.00,2.0
2013-10-06,86,42,64.0,1.0,1,0,0.00,2.0
2013-10-07,84,42,63.0,0.2,2,0,0.00,2.0
2013-10-08,78,41,59.5,-3.1,5,0,0.00,2.0
2013-10-09,78,48,63.0,0.6,2,0,0.00,2.0
2013-10-10,74,44,59.0,-3.1,6,0,0.00,2.0
2013-10-11,69,43,56.0,-5.9,9,0,0.00,2.0
2013-10-12,73,41,57.0,-4.7,8,0,0.00,2.0
2013-10-13,77,39,58.0,-3.5,7,0,0.00,2.0
2013-10-14,82,38,60.0,-1.3,5,0,0.00,2.0
2013-10-15,85,36,60.5,-0.5,4,0,0.00,2.0
2013-10-16,83,36,59.5,-1.3,5,0,0.00,2.0
2013-10-17,84,39,61.5,0.9,3,0,0.00,2.0
2013-10-18,80,37,58.5,-1.9,6,0,0.00,2.0
2013-10-19,85,37,61.0,0.9,4,0,0.00,2.0
2013-10-20,81,37,59.0,-0.9,6,0,0.00,2.0
2013-10-21,74,45,59.5,-0.1,5,0,0.00,2.0
2013-10-22,80,45,62.5,3.1,2,0,0.00,2.0
2013-10-23,78,44,61.0,1.9,4,0,0.00,2.0
2013-10-24,67,42,54.5,-4.4,10,0,0.00,2.0
2013-10-25,72,37,54.5,-4.1,10,0,0.00,2.0
2013-10-26,83,35,59.0,0.6,6,0,0.00,2.0
2013-10-27,65,42,53.5,-4.6,11,0,0.00,2.0
2013-10-28,67,38,52.5,-5.3,12,0,0.00,2.0
2013-10-29,66,40,53.0,-4.6,12,0,0.00,2.0
2013-10-30,68,34,51.0,-6.3,14,0,0.00,2.0
2013-10-31,75,35,55.0,-2.0,10,0,0.00,2.0
2013-11-01,79,38,58.5,1.8,6,0,0.00,2.0
2013-11-02,76,36,56.0,-0.4,9,0,0.00,2.0
2013-11-03,65,39,52.0,-4.1,13,0,0.00,2.0
2013-11-04,73,30,51.5,-4.3,13,0,0.00,2.0
2013-11-05,78,42,60.0,4.5,5,0,0.00,2.0
2013-11-06,76,41,58.5,3.3,6,0,0.00,2.0
2013-11-07,76,44,60.0,5.1,5,0,0.00,2.0
2013-11-08,77,39,58.0,3.4,7,0,0.00,2.0
2013-11-09,76,35,55.5,1.2,9,0,0.00,2.0
2013-11-10,67,38,52.5,-1.5,12,0,0.00,2.0
2013-11-11,68,42,55.0,1.3,10,0,0.00,2.0
2013-11-12,74,46,60.0,6.6,5,0,0.00,2.0
2013-11-13,80,40,60.0,7.0,5,0,0.00,2.0
2013-11-14,64,45,54.5,1.8,10,0,0.00,2.0
2013-11-15,70,37,53.5,1.1,11,0,0.00,2.0
2013-11-16,69,33,51.0,-1.1,14,0,0.00,2.0
2013-11-17,63,35,49.0,-2.8,16,0,0.00,2.0
