id,version,"created_at","updated_at",user_id,description_id,rss_log_id,num_views,"last_view",rank,"text_name","search_name","display_name","sort_name","citation",deprecated,synonym_id,correct_spelling_id,"notes","classification",ok_for_export,"author","lifeform",locked
15906,1,"2009-02-01 16:56:04","2011-02-27 14:22:35",5,NULL,NULL,460,"2018-09-08 17:06:14",4,"Coprinopsis insignis","Coprinopsis insignis (Peck) Redhead, Vilgalys & Moncalvo","**__Coprinopsis insignis__** (Peck) Redhead, Vilgalys & Moncalvo","Coprinopsis insignis  (Peck) Redhead, Vilgalys & Moncalvo",NULL,0,71,NULL,NULL,NULL,1,"(Peck) Redhead, Vilgalys & Moncalvo"," ",0
15968,1,"2009-02-05 00:04:31","2009-02-05 00:04:31",164,NULL,NULL,111,"2018-06-22 20:26:26",16,"Lepiota atrodisca group","Lepiota atrodisca group","**__Lepiota atrodisca__** group","Lepiota atrodisca   group",NULL,0,NULL,NULL,NULL,"Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Agaricaceae_",1,""," ",0
15982,9,"2009-02-08 03:00:05","2016-05-05 23:54:32",445,2126,22151,1335,"2018-09-07 22:28:18",9,"Suillus","Suillus Gray","**__Suillus__** Gray","Suillus  Gray","\"Nat. Arr. Brit. Pl. (London) 1: 646\":http://biodiversitylibrary.org/page/30087348#page/720/mode/1up (1821)",0,3023,NULL,"Type species:
_Suillus luteus_ (L.) Roussel (1806)","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Boletales_
Family: _Boletaceae_",1,"Gray"," ",0
15985,4,"2009-02-09 07:55:17","2015-04-13 01:16:32",442,5882,147379,588,"2018-09-06 13:12:09",4,"Dictydiaethalium plumbeum","Dictydiaethalium plumbeum (Schumach.) Rostaf. ex Lister","**__Dictydiaethalium plumbeum__** (Schumach.) Rostaf. ex Lister","Dictydiaethalium plumbeum  (Schumach.) Rostaf. ex Lister","Monogr. Mycetozoa (London): 157 (1894)",0,NULL,NULL,"from micologia.net:

Esporoforos pseudoetaloides, de aspecto eteloide cuendo están muy maduros, efusos, deprimidos extendiendose a lo largo de 1,5-30 mm, de gris oscuro a pardo amarillento grisaceo, pardo amarillentou oliva grisaceo Esporocarpos sésiles, cilíndricos, concrescentes o coalescentes, muy compactados, con aspecto de empalizada, angulares debido a la presión mutua, cilindricos de 0,5-2 X 0,15-0,35mm. Hipotalo parduzco blanquecino o plateado, persistente, grueso, visible cuando sale del pseudoetalio Peridio simple membranáceo, delgado y fugaz en la parte inferior de la esporocarpos, , grueso y persistente en el ápice, en forma de placas poliédricas de 80-200 Esporoforos pseudoetaloides, pulviniformes o deprimidos. Esporocarpos sésiles, cilíndricos, concrescentes o coalescentes, muy compactados, con aspecto de empalizada, angulares debido a la presión mutua. Peridio membranáceo, delgado y fugaz en la parte inferior, grueso y persistente en el ápice, en forma de placas poliédricas; dehiscencia apical por rotura entre las placas. Sin capilicio.Sin columela. Pseudocapilicio filiforme, amarillo verdoso claro a aliva claropende de los bordes de las placas peridiale, solo visible tras la dehiscencia, hilos de 2-4 µm de diam., translucidos, lisos o con una línes de flecos, de 1-2 µm de longitud Esporas libres amarillo naranja, pardo u oliva en masa, muy pálidas o incoloras al microscopio, birrefrigentes con luz polarizada.µm de diam., lisas, rugosas, papilosas o subreticuladas, translucidas, amarillo verdoso pálido al microscopio, birrefrigentes con luz polarizada, de globosas a subglobosas, de 8-12(-13) µm de díam., espinulosas.","Domain: _Eukarya_
Kingdom: _Protozoa_
Phylum: _Amoebozoa_
Class: _Myxogastrea_
Order: _Liceida_
Family: _Dictydiaethaliaceae_",1,"(Schumach.) Rostaf. ex Lister"," ",0
15989,2,"2009-02-09 19:42:19","2012-06-07 06:51:08",5,NULL,105676,46,"2018-06-23 05:21:35",2,"Pilobolus crystallinus var. kleinii","Pilobolus crystallinus var. kleinii (Tiegh.) R.Y. Zheng & G.Q. Chen","**__Pilobolus crystallinus__** var. **__kleinii__** (Tiegh.) R.Y. Zheng & G.Q. Chen","Pilobolus crystallinus  {6var.  kleinii  (Tiegh.) R.Y. Zheng & G.Q. Chen","",0,NULL,NULL,"",NULL,1,"(Tiegh.) R.Y. Zheng & G.Q. Chen"," ",0
16004,2,"2009-02-10 04:00:14","2018-03-30 02:50:01",290,2728,93732,521,"2018-09-09 20:36:54",4,"Pycnoporellus fulgens","Pycnoporellus fulgens (Fr.) Donk","**__Pycnoporellus fulgens__** (Fr.) Donk","Pycnoporellus fulgens  (Fr.) Donk","Persoonia 6(2): 216 (1971)",0,NULL,NULL,"","Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Polyporales_
Family: _Fomitopsidaceae_",1,"(Fr.) Donk"," ",0
16010,4,"2009-02-12 14:52:28","2010-06-25 01:33:58",172,NULL,26368,451,"2018-08-17 12:44:24",4,"Flammulaster muricatus","Flammulaster muricatus (Fr.) Watling","**__Flammulaster muricatus__** (Fr.) Watling","Flammulaster muricatus  (Fr.) Watling","Notes R. bot. Gdn Edinb. 28(1): 66 (1967) [as 'muricata']",0,2588,NULL,"For those not familiar with the genus, __Flammulaster__s are small brown or very pale brown spored mushrooms growing on vegetal debris and wood, typically with a flocculose cap cuticle made up of round cells.",NULL,1,"(Fr.) Watling"," ",0
16011,5,"2009-02-12 14:53:35","2018-05-11 15:28:54",172,NULL,62443,505,"2018-09-03 18:07:16",4,"Flammulaster erinaceellus","Flammulaster erinaceellus (Peck) Watling","**__Flammulaster erinaceellus__** (Peck) Watling","Flammulaster erinaceellus  (Peck) Watling","[as 'erinaceella'], Notes R. bot. Gdn Edinb. 28(1): 65 (1967)",0,4093,NULL,"","Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Tubariaceae_",1,"(Peck) Watling"," ",0
16014,3,"2009-02-13 01:53:17","2013-11-03 21:55:15",369,NULL,60435,188,"2018-08-27 01:57:54",2,"Hygrocybe pratensis var. pallida","Hygrocybe pratensis var. pallida (Cooke) Arnolds","__Hygrocybe pratensis__ var. __pallida__ (Cooke) Arnolds","Hygrocybe pratensis  {6var.  pallida  (Cooke) Arnolds","Index Fungorum",1,4196,NULL,"",NULL,1,"(Cooke) Arnolds"," ",0
16015,3,"2009-02-13 03:42:08","2014-02-18 01:49:49",242,1290,19929,2702,"2018-09-07 01:02:46",4,"Amanita amerimuscaria","Amanita amerimuscaria Tulloss & Geml nom. prov.","__Amanita amerimuscaria__ Tulloss & Geml nom. prov.","Amanita amerimuscaria  Tulloss & Geml nom. prov.","",1,4383,NULL,NULL,"Domain: _Eukarya_
Kingdom: _Fungi_
Phylum: _Basidiomycota_
Class: _Agaricomycetes_
Order: _Agaricales_
Family: _Amanitaceae_",0,"Tulloss & Geml nom. prov."," ",0
